"","Z","PDF","CDF"
"423",-0.28,0.383606292153479,0.389738752444203
"424",-0.27,0.384662661298743,0.393580126801961
"425",-0.26,0.385683369191816,0.39743188679824
"426",-0.25,0.386668116802849,0.401293674317076
"427",-0.24,0.387616615125014,0.405165128302204
"428",-0.23,0.388528585315836,0.409045884857994
"429",-0.22,0.38940375883379,0.412935577351785
"430",-0.21,0.390241877570074,0.416833836517558
"431",-0.2,0.391042693975456,0.420740290560897
"432",-0.19,0.391805971182121,0.424654565265205
"433",-0.18,0.392531483120429,0.428576284099099
"434",-0.17,0.393219014630497,0.432505068324962
"435",-0.16,0.393868361568541,0.436440537108567
"436",-0.149999999999999,0.394479330907889,0.440382307629758
"437",-0.14,0.395051740834611,0.444329995194094
"438",-0.13,0.395585420837687,0.448283213345439
"439",-0.12,0.396080211793656,0.452241573979416
"440",-0.11,0.396535966045686,0.456204687457683
"441",-0.0999999999999996,0.396952547477012,0.460172162722971
"442",-0.0899999999999999,0.397329831578688,0.464143607414828
"443",-0.0800000000000001,0.397667705511609,0.468118627986013
"444",-0.0700000000000003,0.397966068162751,0.472096829819479
"445",-0.0599999999999996,0.398224830195607,0.476077817345893
"446",-0.0499999999999998,0.398443914094764,0.480061194161628
"447",-0.04,0.398623254204605,0.484046563147169
"448",-0.0300000000000002,0.3987627967621,0.488033526585887
"449",-0.0199999999999996,0.398862499923666,0.492021686283098
"450",-0.00999999999999979,0.398922333786082,0.496010643685368
"451",0,0.398942280401433,0.5
"452",0.00999999999999979,0.398922333786082,0.503989356314631
"453",0.0200000000000005,0.398862499923666,0.507978313716902
"454",0.0300000000000002,0.3987627967621,0.511966473414113
"455",0.04,0.398623254204605,0.515953436852831
"456",0.0499999999999998,0.398443914094764,0.519938805838372
"457",0.0600000000000005,0.398224830195607,0.523922182654107
"458",0.0700000000000003,0.397966068162751,0.527903170180521
"459",0.0800000000000001,0.397667705511609,0.531881372013987
"460",0.0899999999999999,0.397329831578688,0.535856392585172
"461",0.100000000000001,0.396952547477012,0.539827837277029
"462",0.11,0.396535966045686,0.543795312542317
"463",0.12,0.396080211793656,0.547758426020584
"464",0.13,0.395585420837687,0.551716786654561
"465",0.14,0.395051740834611,0.555670004805906
"466",0.15,0.394479330907889,0.559617692370243
"467",0.16,0.393868361568541,0.563559462891433
"468",0.17,0.393219014630497,0.567494931675038
"469",0.18,0.392531483120429,0.571423715900901
"470",0.19,0.391805971182121,0.575345434734796
"471",0.2,0.391042693975456,0.579259709439103
"472",0.21,0.390241877570074,0.583166163482442
"473",0.22,0.38940375883379,0.587064422648214
"474",0.23,0.388528585315836,0.590954115142006
"475",0.24,0.387616615125014,0.594834871697796
"476",0.25,0.386668116802849,0.598706325682924
"477",0.26,0.385683369191816,0.60256811320176
"478",0.27,0.384662661298743,0.60641987319804
"479",0.28,0.383606292153479,0.610261247555797
"480",0.29,0.382514570662924,0.614091881198877
"481",0.3,0.381387815460524,0.617911422188953
"482",0.31,0.380226354751325,0.62171952182202
"483",0.32,0.379030526152702,0.62551583472332
"484",0.33,0.377800676530865,0.629300018940654
"485",0.34,0.376537161833254,0.633071736036028
"486",0.350000000000001,0.375240346916938,0.636830651175619
"487",0.36,0.373910605373128,0.640576433217991
"488",0.37,0.372548319347933,0.644308754800547
"489",0.38,0.371153879359466,0.648027292424163
"490",0.39,0.369727684111432,0.651731726535982
"491",0.4,0.368270140303323,0.655421741610324
"492",0.41,0.366781662437336,0.659097026227677
"493",0.42,0.365262672622154,0.66275727315175
"494",0.43,0.363713600373713,0.666402179404542
"495",0.44,0.362134882413092,0.670031446339406
"496",0.45,0.360526962461648,0.67364477971208
"497",0.46,0.358890291033545,0.677241889749652
"498",0.47,0.357225325225801,0.680822491217444
"499",0.48,0.355532528505997,0.684386303483778
"500",0.49,0.35381237049778,0.68793305058261
"501",0.5,0.3520653267643,0.691462461274013
"502",0.51,0.350291878589726,0.694974269102481
"503",0.52,0.348492512758974,0.698468212453034
"504",0.53,0.346667721335792,0.701944034605124
"505",0.54,0.344818001439333,0.705401483784302
"506",0.55,0.342943855019384,0.708840313211654
"507",0.56,0.341045788630352,0.712260281150973
"508",0.57,0.339124313204192,0.715661150953676
"509",0.58,0.337179943822381,0.719042691101436
"510",0.59,0.335213199487106,0.722404675246535
"511",0.600000000000001,0.3332246028918,0.725746882249927
"512",0.61,0.331214680191153,0.729069096216994
"513",0.62,0.329183960770765,0.732371106531017
"514",0.63,0.327132977016554,0.735652707884322
"515",0.64,0.325062264084082,0.738913700307138
"516",0.65,0.322972359667914,0.742153889194135
"517",0.66,0.320863803771172,0.745373085328664
"518",0.67,0.318737138475402,0.74857110490469
"519",0.68,0.316592907710893,0.751747769546429
"520",0.69,0.314431657027597,0.754902906325691
"521",0.7,0.312253933366761,0.758036347776927
"522",0.71,0.310060284833416,0.761147931910013
"523",0.72,0.307851260469853,0.764237502220749
"524",0.73,0.30562741003021,0.767304907699103
"525",0.74,0.3033892837563,0.770350002835209
"526",0.75,0.301137432154804,0.773372647623132
"527",0.76,0.298872405775953,0.776372707562401
"528",0.77,0.296594754993816,0.779350053657351
"529",0.78,0.294305029788325,0.782304562414267
"530",0.79,0.292003779529141,0.785236115836363
"531",0.8,0.289691552761483,0.788144601416603
"532",0.81,0.287368896994028,0.791029912128399
"533",0.82,0.285036358489007,0.793891946414187
"534",0.83,0.28269448205458,0.796730608171932
"535",0.84,0.280343810839621,0.79954580673955
"536",0.850000000000001,0.277984886130996,0.802337456877308
"537",0.86,0.275618247153457,0.805105478748192
"538",0.87,0.273244430872216,0.807849797896304
"539",0.88,0.270863971798338,0.810570345223288
"540",0.89,0.268477401797002,0.813267056962827
"541",0.9,0.266085249898755,0.815939874653241
"542",0.91,0.263688042113818,0.818588745108203
"543",0.92,0.261286301249553,0.821213620385628
"544",0.93,0.258880546731149,0.823814457754742
"545",0.94,0.25647129442562,0.826391219661376
"546",0.95,0.254059056469189,0.828943873691518
